PIRM_REG_METAI_LT,MARKE
2020-03,35
2020-04,47
2020-05,69
2020-06,82
2020-07,135
2020-08,101
2020-09,113
2020-10,127
2020-11,123
2020-12,108
2021-01,122
2021-02,34
2021-03,37
2021-04,128
2021-05,184
2021-06,178
2021-07,194
2021-08,228
2021-09,264
2021-10,385
2021-11,297
2021-12,454
2022-01,180
2022-02,177
2022-03,277
2022-04,268
2022-05,323
2022-06,205
2022-07,348
2022-08,260
2022-09,244
2022-10,255
2022-11,263
2022-12,209
2023-01,277
2023-02,229
2023-03,330
2023-04,376
2023-05,517
2023-06,478
2023-07,373
2023-08,411
2023-09,428
2023-10,541
2023-11,377
2023-12,453
2024-01,321
2024-02,325
2024-03,370
2024-04,563
2024-05,507
