PIRM_REG_DATA_LT,KIEKIS
2001-01,87
2001-02,267
2001-03,371
2001-04,406
2001-05,456
2001-06,448
2001-07,419
2001-08,417
2001-09,374
2001-10,376
2001-11,403
2001-12,511
2002-01,258
2002-02,353
2002-03,574
2002-04,607
2002-05,850
2002-06,860
2002-07,628
2002-08,480
2002-09,402
2002-10,542
2002-11,615
2002-12,702
2003-01,541
2003-02,606
2003-03,783
2003-04,971
2003-05,996
2003-06,870
2003-07,948
2003-08,913
2003-09,844
2003-10,1010
2003-11,858
2003-12,1089
2004-01,751
2004-02,726
2004-03,1210
2004-04,1652
2004-05,1415
2004-06,1441
2004-07,1492
2004-08,1319
2004-09,1290
2004-10,1348
2004-11,1134
2004-12,1361
2005-01,1145
2005-02,1234
2005-03,1614
2005-04,2439
2005-05,2398
2005-06,2361
2005-07,2439
2005-08,2274
2005-09,2269
2005-10,2351
2005-11,2228
2005-12,2485
2006-01,1985
2006-02,2437
2006-03,3307
2006-04,3535
2006-05,3810
2006-06,3464
2006-07,3267
2006-08,3776
2006-09,3672
2006-10,3958
2006-11,3469
2006-12,3531
2007-01,3471
2007-02,3291
2007-03,5451
2007-04,5558
2007-05,6473
2007-06,6336
2007-07,6410
2007-08,6232
2007-09,5487
2007-10,6578
2007-11,5179
2007-12,4772
2008-01,5589
2008-02,5836
2008-03,6259
2008-04,8289
2008-05,7105
2008-06,6133
2008-07,6991
2008-08,5426
2008-09,5415
2008-10,6059
2008-11,4014
2008-12,3806
2009-01,2560
2009-02,2753
2009-03,3927
2009-04,5067
2009-05,4432
2009-06,4085
2009-07,4091
2009-08,3399
2009-09,3154
2009-10,2942
2009-11,2433
2009-12,2591
2010-01,1937
2010-02,2130
2010-03,3567
2010-04,4371
2010-05,4524
2010-06,4663
2010-07,5001
2010-08,4796
2010-09,4451
2010-10,4813
2010-11,4388
2010-12,3754
2011-01,3667
2011-02,3929
2011-03,5484
2011-04,5889
2011-05,5841
2011-06,5897
2011-07,6580
2011-08,7232
2011-09,7260
2011-10,7424
2011-11,6782
2011-12,6521
2012-01,5997
2012-02,5593
2012-03,8199
2012-04,8200
2012-05,8798
2012-06,8492
2012-07,8208
2012-08,7824
2012-09,7548
2012-10,8104
2012-11,6991
2012-12,6093
2013-01,6207
2013-02,6595
2013-03,8235
2013-04,9244
2013-05,9973
2013-06,9009
2013-07,10088
2013-08,8906
2013-09,8025
2013-10,9332
2013-11,7809
2013-12,7091
2014-01,6933
2014-02,7524
2014-03,9661
2014-04,10583
2014-05,10377
2014-06,11169
2014-07,8871
2014-08,8780
2014-09,8540
2014-10,9429
2014-11,7676
2014-12,7617
2015-01,7419
2015-02,7304
2015-03,9597
2015-04,10830
2015-05,10712
2015-06,10161
2015-07,10837
2015-08,9528
2015-09,9565
2015-10,9802
2015-11,8040
2015-12,8182
2016-01,7090
2016-02,8350
2016-03,10624
2016-04,12248
2016-05,11480
2016-06,10972
2016-07,11381
2016-08,10893
2016-09,10727
2016-10,10310
2016-11,9498
2016-12,9247
2017-01,9146
2017-02,9397
2017-03,12829
2017-04,13152
2017-05,13829
2017-06,13094
2017-07,12822
2017-08,13343
2017-09,11940
2017-10,12467
2017-11,11205
2017-12,10445
2018-01,11039
2018-02,10252
2018-03,13500
2018-04,14964
2018-05,16238
2018-06,15223
2018-07,14852
2018-08,15486
2018-09,13683
2018-10,15117
2018-11,12637
2018-12,10805
2019-01,11628
2019-02,11532
2019-03,15013
2019-04,17899
2019-05,16818
2019-06,14770
2019-07,16616
2019-08,15569
2019-09,13403
2019-10,16503
2019-11,13822
2019-12,12929
2020-01,12360
2020-02,12573
2020-03,7270
2020-04,8768
2020-05,12553
2020-06,18906
2020-07,14475
2020-08,13177
2020-09,14384
2020-10,14480
2020-11,11688
2020-12,10394
2021-01,9345
2021-02,10240
2021-03,15581
2021-04,18873
2021-05,15780
2021-06,17101
2021-07,17307
2021-08,15512
2021-09,15975
2021-10,14904
2021-11,13095
2021-12,12569
2022-01,11668
2022-02,11449
2022-03,14997
2022-04,15726
2022-05,15946
2022-06,15258
2022-07,15617
2022-08,15559
2022-09,15131
2022-10,15150
2022-11,13564
2022-12,11184
2023-01,12891
2023-02,13038
2023-03,16822
2023-04,16629
2023-05,17715
2023-06,17289
2023-07,16058
2023-08,15775
2023-09,14995
2023-10,14921
2023-11,13033
2023-12,11665
2024-01,11914
2024-02,13368
2024-03,16130
2024-04,17435
2024-05,19238
